counter,time,sopr max rate,sopr aver rate,prefecber,esnrmin,esnrmax,esnraver
0,19:43:10,715.6,114.5,4.37E-04,17.17,17.27,17.21
1,19:43:11,715.6,103.8,4.17E-04,17.25,17.25,17.25
4,19:43:13,715.6,121.3,4.17E-04,17.24,17.26,17.24
5,19:43:14,715.6,102.6,4.27E-04,17.23,17.24,17.23
8,19:43:16,715.6,124.4,4.27E-04,17.23,17.23,17.23
12,19:43:18,715.6,109,4.07E-04,17.23,17.27,17.24
13,19:43:19,715.6,91.4,4.07E-04,17.25,17.27,17.26
14,19:43:20,715.6,109.6,4.17E-04,17.24,17.25,17.24
15,19:43:21,715.6,65.2,4.17E-04,17.25,17.25,17.25
21,19:43:25,715.6,112.6,4.37E-04,17.22,17.26,17.24
23,19:43:26,715.6,127.8,4.17E-04,17.23,17.24,17.23
24,19:43:27,715.6,112.8,4.17E-04,17.24,17.24,17.24
26,19:43:28,715.6,122.4,4.27E-04,17.24,17.24,17.24
27,19:43:29,715.6,100.6,4.27E-04,17.23,17.24,17.23
30,19:43:31,715.6,108.4,4.17E-04,17.23,17.26,17.23
31,19:43:32,715.6,107.4,4.17E-04,17.25,17.26,17.25
34,19:43:34,715.6,129.1,4.27E-04,17.22,17.25,17.23
38,19:43:36,715.6,115.6,4.27E-04,17.21,17.22,17.21
39,19:43:37,715.6,107.6,4.37E-04,17.21,17.22,17.21
41,19:43:39,715.6,136.6,4.27E-04,17.21,17.22,17.21
42,19:43:40,715.6,92.6,4.37E-04,17.21,17.22,17.21
45,19:43:42,715.6,116.2,4.37E-04,17.21,17.22,17.21
51,19:43:45,715.6,112,4.27E-04,17.21,17.23,17.21
52,19:43:46,715.6,143.8,4.27E-04,17.23,17.24,17.23
55,19:43:48,99,99,4.37E-04,17.22,17.22,17.22
56,19:43:49,715.6,117.6,4.27E-04,17.22,17.24,17.22
59,19:43:51,715.6,121.2,4.37E-04,17.2,17.24,17.21
63,19:43:53,715.6,116,4.47E-04,17.2,17.22,17.21
64,19:43:54,715.6,117.8,4.37E-04,17.2,17.22,17.2
66,19:43:55,715.6,129,4.27E-04,17.2,17.22,17.2
67,19:43:56,715.6,90.6,4.27E-04,17.23,17.23,17.23
70,19:43:58,715.6,101,4.37E-04,17.21,17.23,17.21
71,19:43:59,715.6,122.6,4.37E-04,17.21,17.22,17.21
74,19:44:01,715.6,106.4,4.37E-04,17.21,17.22,17.21
76,19:44:02,715.6,103.8,4.47E-04,17.19,17.21,17.2
78,19:44:03,715.6,130.2,4.47E-04,17.19,17.19,17.19
79,19:44:04,715.6,99.4,4.47E-04,17.19,17.21,17.2
82,19:44:06,715.6,123.4,4.37E-04,17.21,17.23,17.22
83,19:44:07,715.6,104.4,4.37E-04,17.2,17.21,17.2
85,19:44:08,715.6,108.6,4.27E-04,17.2,17.22,17.21
89,19:44:11,100.8,100.8,4.37E-04,17.22,17.22,17.22
90,19:44:12,715.6,134,4.27E-04,17.22,17.23,17.22
93,19:44:13,715.6,105.4,4.37E-04,17.22,17.23,17.22
94,19:44:14,715.6,145.4,4.37E-04,17.22,17.22,17.22
97,19:44:16,193.6,193.6,4.27E-04,17.22,17.23,17.22
98,19:44:17,715.6,136.6,4.27E-04,17.23,17.24,17.23
100,19:44:18,715.6,126.2,4.27E-04,17.23,17.24,17.23
