counter,time,sopr max rate,sopr aver rate,prefecber,esnrmin,esnrmax,esnraver
0,19:00:47,715.6,114,4.47E-04,17.14,17.25,17.19
1,19:00:48,715.6,97.2,4.27E-04,17.21,17.22,17.21
4,19:00:50,715.6,98.8,4.27E-04,17.22,17.22,17.22
5,19:00:51,715.6,132,4.27E-04,17.22,17.24,17.22
7,19:00:52,715.6,122,4.27E-04,17.23,17.24,17.23
8,19:00:53,715.6,135.2,4.27E-04,17.21,17.23,17.21
11,19:00:55,715.6,122.4,4.37E-04,17.21,17.22,17.21
12,19:00:56,715.6,117,4.37E-04,17.22,17.22,17.22
15,19:00:58,715.6,98.5,4.27E-04,17.21,17.23,17.21
16,19:00:59,715.6,130.6,4.47E-04,17.2,17.21,17.2
19,19:01:00,715.6,119,4.37E-04,17.2,17.22,17.2
23,19:01:03,715.6,112.6,4.47E-04,17.2,17.22,17.2
24,19:01:04,715.6,138.6,4.37E-04,17.21,17.22,17.21
27,19:01:06,715.6,93.3,4.47E-04,17.2,17.22,17.2
31,19:01:08,715.6,99.2,4.37E-04,17.21,17.24,17.22
32,19:01:09,715.6,98.2,4.37E-04,17.21,17.21,17.21
33,19:01:10,715.6,100,4.27E-04,17.21,17.24,17.21
36,19:01:12,715.6,123.6,4.27E-04,17.22,17.24,17.23
38,19:01:13,715.6,108.8,4.37E-04,17.22,17.22,17.22
40,19:01:14,715.6,104.6,4.37E-04,17.22,17.23,17.22
41,19:01:15,715.6,134.6,4.37E-04,17.22,17.23,17.22
44,19:01:17,715.6,131.4,4.47E-04,17.19,17.22,17.2
45,19:01:18,715.6,126.8,4.57E-04,17.19,17.19,17.19
46,19:01:19,715.6,109,4.37E-04,17.19,17.21,17.2
53,19:01:24,715.6,107.8,4.37E-04,17.2,17.22,17.2
55,19:01:25,715.6,121.8,4.47E-04,17.2,17.21,17.2
56,19:01:26,715.6,116,4.47E-04,17.18,17.21,17.2
58,19:01:27,715.6,101,4.57E-04,17.18,17.19,17.18
60,19:01:28,273.8,273.8,4.47E-04,17.21,17.21,17.21
62,19:01:30,715.6,103.8,4.57E-04,17.18,17.19,17.18
63,19:01:31,715.6,101.6,4.47E-04,17.19,17.2,17.19
66,19:01:33,715.6,124,4.27E-04,17.2,17.22,17.21
70,19:01:35,715.6,108,4.37E-04,17.19,17.22,17.2
71,19:01:36,715.6,98.8,4.57E-04,17.18,17.2,17.19
74,19:01:38,715.6,118.4,4.47E-04,17.18,17.2,17.19
76,19:01:39,715.6,107.6,4.47E-04,17.2,17.2,17.2
85,19:01:44,715.6,119.8,4.47E-04,17.2,17.23,17.21
86,19:01:45,715.6,140.2,4.47E-04,17.2,17.21,17.2
88,19:01:46,110.2,110.2,4.37E-04,17.21,17.21,17.21
90,19:01:48,715.6,118.6,4.47E-04,17.18,17.21,17.2
92,19:01:49,715.6,112.2,4.57E-04,17.18,17.18,17.18
93,19:01:50,715.6,95.2,4.57E-04,17.18,17.18,17.18
96,19:01:52,715.6,108,4.57E-04,17.15,17.19,17.18
97,19:01:53,715.6,106,4.79E-04,17.14,17.15,17.14
100,19:01:55,715.6,113.6,4.68E-04,17.14,17.18,17.15
104,19:01:57,715.6,106,4.57E-04,17.17,17.19,17.17
105,19:01:58,715.6,129.2,4.47E-04,17.19,17.19,17.19
108,19:02:00,715.6,116.7,4.37E-04,17.19,17.22,17.2
109,19:02:01,715.6,120.8,4.27E-04,17.22,17.23,17.22
111,19:02:02,715.6,115,4.57E-04,17.18,17.23,17.2
112,19:02:03,715.6,110,4.57E-04,17.18,17.19,17.18
115,19:02:05,715.6,103.4,4.47E-04,17.19,17.2,17.19
117,19:02:06,715.6,134.2,4.37E-04,17.2,17.21,17.2
118,19:02:07,715.6,113.6,4.37E-04,17.21,17.22,17.21
121,19:02:09,715.6,100.1,4.37E-04,17.19,17.22,17.2
123,19:02:10,715.6,127.8,4.47E-04,17.19,17.19,17.19
125,19:02:11,715.6,108.2,4.68E-04,17.18,17.19,17.18
126,19:02:12,715.6,98.2,4.68E-04,17.18,17.18,17.18
128,19:02:14,715.6,120.4,4.47E-04,17.18,17.2,17.18
130,19:02:15,715.6,114.6,4.57E-04,17.18,17.2,17.19
132,19:02:16,715.6,113.4,4.37E-04,17.18,17.19,17.18
136,19:02:19,715.6,127.8,4.27E-04,17.21,17.23,17.21
138,19:02:21,715.6,115.2,4.47E-04,17.18,17.2,17.19
141,19:02:23,164.2,164.2,4.47E-04,17.17,17.21,17.17
143,19:02:24,715.6,124.2,4.47E-04,17.2,17.21,17.2
146,19:02:26,715.6,116.2,4.57E-04,17.18,17.2,17.18
149,19:02:28,715.6,108.6,4.37E-04,17.19,17.21,17.2
150,19:02:29,715.6,104,4.47E-04,17.2,17.2,17.2
153,19:02:31,715.6,95.6,4.37E-04,17.2,17.22,17.2
155,19:02:32,715.6,109.2,4.37E-04,17.2,17.21,17.2
157,19:02:33,715.6,101,4.37E-04,17.21,17.21,17.21
161,19:02:36,715.6,115.8,4.47E-04,17.2,17.22,17.2
162,19:02:37,715.6,114.4,4.37E-04,17.2,17.23,17.2
164,19:02:38,715.6,115.6,4.17E-04,17.23,17.25,17.24
165,19:02:39,715.6,77.6,4.17E-04,17.24,17.25,17.24
175,19:02:45,715.6,107.7,4.47E-04,17.18,17.24,17.2
177,19:02:46,715.6,102.8,4.37E-04,17.19,17.23,17.19
179,19:02:47,715.6,116,4.27E-04,17.21,17.24,17.22
183,19:02:50,715.6,123.8,4.47E-04,17.2,17.21,17.2
184,19:02:51,715.6,121.2,4.37E-04,17.2,17.22,17.2
187,19:02:53,715.6,108.3,4.27E-04,17.22,17.23,17.22
189,19:02:54,715.6,91.8,4.37E-04,17.21,17.23,17.22
191,19:02:55,715.6,110.8,4.27E-04,17.21,17.23,17.21
195,19:02:58,715.6,126.4,4.57E-04,17.19,17.23,17.21
196,19:02:59,715.6,109.4,4.47E-04,17.19,17.2,17.19
199,19:03:01,715.6,108.8,4.37E-04,17.2,17.22,17.21
203,19:03:03,715.6,113.2,4.37E-04,17.2,17.22,17.21
204,19:03:04,715.6,104.8,4.37E-04,17.2,17.22,17.2
207,19:03:06,715.6,108.5,4.27E-04,17.22,17.23,17.22
208,19:03:07,715.6,129,4.27E-04,17.21,17.23,17.22
210,19:03:08,715.6,124.2,4.47E-04,17.18,17.21,17.19
211,19:03:09,715.6,137.8,4.47E-04,17.18,17.23,17.2
214,19:03:11,715.6,104.6,4.27E-04,17.22,17.24,17.23
215,19:03:12,715.6,109.8,4.37E-04,17.22,17.23,17.22
218,19:03:13,715.6,131.2,4.27E-04,17.22,17.23,17.22
219,19:03:14,715.6,128.8,4.27E-04,17.22,17.23,17.22
222,19:03:16,715.6,118,4.27E-04,17.22,17.23,17.22
223,19:03:17,715.6,124.8,4.37E-04,17.2,17.22,17.21
224,19:03:18,715.6,120.8,4.27E-04,17.2,17.24,17.21
226,19:03:20,715.6,106.2,4.17E-04,17.24,17.24,17.24
228,19:03:23,61.8,61.8,4.17E-04,17.26,17.26,17.26
232,19:03:26,715.6,111.2,4.07E-04,17.25,17.27,17.26
233,19:03:27,715.6,110.4,4.17E-04,17.25,17.25,17.25
236,19:03:29,715.6,123,4.07E-04,17.25,17.27,17.25
237,19:03:30,715.6,119.6,4.17E-04,17.23,17.27,17.26
240,19:03:31,715.6,122.6,4.37E-04,17.21,17.23,17.21
241,19:03:32,715.6,82.4,4.37E-04,17.24,17.24,17.24
242,19:03:33,715.6,117,4.27E-04,17.22,17.24,17.23
244,19:03:35,106.8,106.8,4.37E-04,17.21,17.22,17.21
247,19:03:37,715.6,100.2,4.27E-04,17.22,17.23,17.22
248,19:03:38,715.6,114.2,4.27E-04,17.23,17.23,17.23
249,19:03:40,715.6,100.2,4.17E-04,17.24,17.25,17.24
260,19:03:46,715.6,82.6,4.17E-04,17.24,17.25,17.24
261,19:03:47,715.6,103.8,4.07E-04,17.25,17.25,17.25
263,19:03:48,715.6,114.6,4.27E-04,17.24,17.25,17.24
264,19:03:49,715.6,116,4.27E-04,17.24,17.24,17.24
267,19:03:51,715.6,99.4,4.37E-04,17.22,17.24,17.23
268,19:03:52,715.6,99.8,4.27E-04,17.22,17.24,17.22
271,19:03:54,715.6,129.5,4.37E-04,17.22,17.24,17.22
272,19:03:55,715.6,119.8,4.27E-04,17.22,17.22,17.22
274,19:03:56,715.6,124.8,4.17E-04,17.22,17.25,17.23
275,19:03:57,715.6,122.6,4.17E-04,17.21,17.25,17.23
278,19:03:59,715.6,102.2,4.47E-04,17.2,17.21,17.2
